rank,property_id,address,latitude,longitude,price,bathrooms,bedrooms,area,zestimate,rent_zestimate,days_on_zillow,image,listing_type,broker_name,input,property_url,listing_url
205,70983496,"109 Sunrise Fls, Cibolo, TX 78108",29.599431,-98.254866,296000.0,3.0,3.0,2294.0 sqft,270100.0,2024.0,0.0,https://photos.zillowstatic.com/fp/41ca49058594aa920764c275348a1a5b-p_e.jpg,House for sale,Opendoor Brokerage LLC,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/109-Sunrise-Fls-Cibolo-TX-78108/70983496_zpid/,https://www.zillow.com/homes/TX_rb/6_p/
66,97629907,"2910 Persimmon Grv, Richmond, TX 77469",29.557441999999998,-95.751786,425000.0,3.0,2.0,2575.0 sqft,436000.0,2967.0,0.0,https://photos.zillowstatic.com/fp/f4716b346d1f1ed2de4aa9feffaca33a-p_e.jpg,House for sale,CENTURY 21 Western Realty,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/2910-Persimmon-Grv-Richmond-TX-77469/97629907_zpid/,https://www.zillow.com/homes/TX_rb/2_p/
790,28157774,"10611 Fawnview Dr, Houston, TX 77070",29.974863,-95.580004,325000.0,3.0,5.0,3092.0 sqft,305600.0,2578.0,0.0,https://photos.zillowstatic.com/fp/80dda9c3313a13e8f7e5619bc09cf617-p_e.jpg,House for sale,"Opendoor Brokerage, LLC",https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/10611-Fawnview-Dr-Houston-TX-77070/28157774_zpid/,https://www.zillow.com/homes/TX_rb/20_p/
175,52871041,"1908 W Park Ave, Orange, TX 77630",30.101684000000002,-93.749762,262000.0,4.0,5.0,2515.0 sqft,189400.0,2125.0,0.0,https://photos.zillowstatic.com/fp/9fc94bc894ead95c547cadb4e101890d-p_e.jpg,House for sale,RE/MAX ONE _rrc2*-rrc_ 9000010,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/1908-W-Park-Ave-Orange-TX-77630/52871041_zpid/,https://www.zillow.com/homes/TX_rb/5_p/
479,53580872,"2325 Vogel Ln, Brookshire, TX 77423",29.809317999999998,-95.983255,529999.0,3.0,4.0,3252.0 sqft,446900.0,2566.0,0.0,https://photos.zillowstatic.com/fp/2131a35dee70e4bdad7d12a0caa4595e-p_e.jpg,House for sale,Keller Williams Realty Austin,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/2325-Vogel-Ln-Brookshire-TX-77423/53580872_zpid/,https://www.zillow.com/homes/TX_rb/12_p/
239,299228500,"5823 S Fm 565 Rd, Baytown, TX 77523",29.810187,-94.83335,750000.0,2.0,3.0,2891.0 sqft,198800.0,1731.0,0.0,https://photos.zillowstatic.com/fp/0c2515c72bd1ecf47ae2d75162a49467-p_e.jpg,House for sale,"Virginia Malone & Assoc.,",https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/5823-S-Fm-565-Rd-Baytown-TX-77523/299228500_zpid/,https://www.zillow.com/homes/TX_rb/6_p/
666,123227292,"1105 Bonner St, Houston, TX 77007",29.771194,-95.402401,435000.0,4.0,3.0,2320.0 sqft,455600.0,3200.0,0.0,https://photos.zillowstatic.com/fp/cb1d042ce77a17ee7750d4bf337d7a4b-p_e.jpg,Townhouse for sale,Martha Turner Sotheby's,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/1105-Bonner-St-Houston-TX-77007/123227292_zpid/,https://www.zillow.com/homes/TX_rb/17_p/
719,84057638,"14019 Windy Stream Ln, Houston, TX 77044",29.925103999999997,-95.176737,425000.0,4.0,4.0,3120.0 sqft,391400.0,2469.0,0.0,https://photos.zillowstatic.com/fp/1756c8a9b4c5920778cf0f2900e8ec27-p_e.jpg,House for sale,Jane Byrd Properties INTL.,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/14019-Windy-Stream-Ln-Houston-TX-77044/84057638_zpid/,https://www.zillow.com/homes/TX_rb/18_p/
174,113027347,"851 Thornberry Dr, Somerville, TX 77879",30.344708,-96.540027,210000.0,2.0,3.0,1792.0 sqft,202200.0,1340.0,0.0,https://photos.zillowstatic.com/fp/183ee573a7c423e2e41671582f76937d-p_e.jpg,Home for sale,Barnett Real Estate,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/851-Thornberry-Dr-Somerville-TX-77879/113027347_zpid/,https://www.zillow.com/homes/TX_rb/5_p/
244,28194211,"12015 Soft Pines Dr, Houston, TX 77066",29.966762,-95.508509,270000.0,3.0,4.0,2844.0 sqft,245000.0,2191.0,0.0,https://photos.zillowstatic.com/fp/914d624d73e6c9b895c31a111358ceb7-p_e.jpg,House for sale,BHGRE Gary Greene,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/12015-Soft-Pines-Dr-Houston-TX-77066/28194211_zpid/,https://www.zillow.com/homes/TX_rb/7_p/
